ITEM: TIMESTEP
60000
ITEM: NUMBER OF CELLS
3136
ITEM: BOX BOUNDS ss ss pp
-3.1785e-08 3.1785e-08
-3.1785e-08 3.1785e-08
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-2.66767e-08 -1.30546e-08 0 0 0 0 
-2.2136e-08 -1.30546e-08 0 0 0 0 
-1.75953e-08 -1.30546e-08 0 0 0 0 
-1.30546e-08 -1.30546e-08 0 0 0 0 
-8.51384e-09 -1.30546e-08 0 0 0 0 
-3.97313e-09 -1.30546e-08 0 0 0 0 
-3.12174e-08 -1.19194e-08 0 0 0 0 
-2.66767e-08 -1.19194e-08 0 0 0 0 
-2.2136e-08 -1.19194e-08 0 0 0 0 
-1.75953e-08 -1.19194e-08 0 0 0 0 
-1.30546e-08 -1.19194e-08 0 0 0 0 
-8.51384e-09 -1.19194e-08 0 0 0 0 
-3.97313e-09 -1.19194e-08 0 0 0 0 
-3.12174e-08 -1.07842e-08 0 0 0 0 
-2.66767e-08 -1.07842e-08 0 0 0 0 
-2.2136e-08 -1.07842e-08 0 0 0 0 
-1.75953e-08 -1.07842e-08 0 0 0 0 
-1.30546e-08 -1.07842e-08 0 0 0 0 
-8.51384e-09 -1.07842e-08 0 0 0 0 
-3.97313e-09 -1.07842e-08 0 0 0 0 
-3.12174e-08 -9.64902e-09 0 0 0 0 
-2.66767e-08 -9.64902e-09 0 0 0 0 
-2.2136e-08 -9.64902e-09 0 0 0 0 
-1.75953e-08 -9.64902e-09 0 0 0 0 
-1.30546e-08 -9.64902e-09 0 0 0 0 
-8.51384e-09 -9.64902e-09 0 0 0 0 
-3.97313e-09 -9.64902e-09 0 0 0 0 
-3.12174e-08 -8.51384e-09 0 0 0 0 
-2.66767e-08 -8.51384e-09 0 0 0 0 
-2.2136e-08 -8.51384e-09 0 0 0 0 
-1.75953e-08 -8.51384e-09 0 0 0 0 
-1.30546e-08 -8.51384e-09 0 0 0 0 
-8.51384e-09 -8.51384e-09 0 0 0 0 
-3.97313e-09 -8.51384e-09 0 0 0 0 
-3.12174e-08 -7.37866e-09 0 0 0 0 
-2.66767e-08 -7.37866e-09 0 0 0 0 
-2.2136e-08 -7.37866e-09 0 0 0 0 
-1.75953e-08 -7.37866e-09 0 0 0 0 
-1.30546e-08 -7.37866e-09 0 0 0 0 
-8.51384e-09 -7.37866e-09 0 0 0 0 
-3.97313e-09 -7.37866e-09 0 0 0 0 
-3.12174e-08 -6.24348e-09 0 0 0 0 
-2.66767e-08 -6.24348e-09 0 0 0 0 
-2.2136e-08 -6.24348e-09 0 0 0 0 
-1.75953e-08 -6.24348e-09 0 0 0 0 
-1.30546e-08 -6.24348e-09 0 0 0 0 
-8.51384e-09 -6.24348e-09 0 0 0 0 
-3.97313e-09 -6.24348e-09 0 0 0 0 
-3.12174e-08 -5.1083e-09 0 0 0 0 
-2.66767e-08 -5.1083e-09 0 0 0 0 
-2.2136e-08 -5.1083e-09 0 0 0 0 
-1.75953e-08 -5.1083e-09 0 0 0 0 
-1.30546e-08 -5.1083e-09 0 0 0 0 
-8.51384e-09 -5.1083e-09 0 0 0 0 
-3.97313e-09 -5.1083e-09 0 0 0 0 
-3.12174e-08 -3.97313e-09 0 0 0 0 
-2.66767e-08 -3.97313e-09 0 0 0 0 
-2.2136e-08 -3.97313e-09 0 0 0 0 
-1.75953e-08 -3.97313e-09 0 0 0 0 
-1.30546e-08 -3.97313e-09 0 0 0 0 
-8.51384e-09 -3.97313e-09 0 0 0 0 
-3.97313e-09 -3.97313e-09 0 0 0 0 
-3.12174e-08 -2.83795e-09 0 0 0 0 
-2.66767e-08 -2.83795e-09 0 0 0 0 
-2.2136e-08 -2.83795e-09 0 0 0 0 
-1.75953e-08 -2.83795e-09 0 0 0 0 
-1.30546e-08 -2.83795e-09 0 0 0 0 
-8.51384e-09 -2.83795e-09 0 0 0 0 
-3.97313e-09 -2.83795e-09 0 0 0 0 
-3.12174e-08 -1.70277e-09 0 0 0 0 
-2.66767e-08 -1.70277e-09 0 0 0 0 
-2.2136e-08 -1.70277e-09 0 0 0 0 
-1.75953e-08 -1.70277e-09 0 0 0 0 
-1.30546e-08 -1.70277e-09 0 0 0 0 
-8.51384e-09 -1.70277e-09 0 0 0 0 
-3.97313e-09 -1.70277e-09 0 0 0 0 
-3.12174e-08 -5.67589e-10 0 0 0 0 
-2.66767e-08 -5.67589e-10 0 0 0 0 
-2.2136e-08 -5.67589e-10 0 0 0 0 
-1.75953e-08 -5.67589e-10 0 0 0 0 
-1.30546e-08 -5.67589e-10 0 0 0 0 
-8.51384e-09 -5.67589e-10 0 0 0 0 
-3.97313e-09 -5.67589e-10 0 0 0 0 
-3.00822e-08 -3.12174e-08 0 0 0 0 
-2.55415e-08 -3.12174e-08 0 0 0 0 
-2.10008e-08 -3.12174e-08 0 0 0 0 
-1.64601e-08 -3.12174e-08 0 0 0 0 
-1.19194e-08 -3.12174e-08 0 0 0 0 
-7.37866e-09 -3.12174e-08 0 0 0 0 
-2.83795e-09 -3.12174e-08 0 0 0 0 
-3.00822e-08 -3.00822e-08 0 0 0 0 
-2.55415e-08 -3.00822e-08 0 0 0 0 
-2.10008e-08 -3.00822e-08 0 0 0 0 
-1.64601e-08 -3.00822e-08 0 0 0 0 
-1.19194e-08 -3.00822e-08 0 0 0 0 
-7.37866e-09 -3.00822e-08 0 0 0 0 
-2.83795e-09 -3.00822e-08 0 0 0 0 
-3.00822e-08 -2.89471e-08 0 0 0 0 
-2.55415e-08 -2.89471e-08 0 0 0 0 
-2.10008e-08 -2.89471e-08 0 0 0 0 
-1.64601e-08 -2.89471e-08 0 0 0 0 
-1.19194e-08 -2.89471e-08 0 0 0 0 
-7.37866e-09 -2.89471e-08 0 0 0 0 
-2.83795e-09 -2.89471e-08 0 0 0 0 
-3.00822e-08 -2.78119e-08 0 0 0 0 
-2.55415e-08 -2.78119e-08 0 0 0 0 
-2.10008e-08 -2.78119e-08 0 0 0 0 
-1.64601e-08 -2.78119e-08 0 0 0 0 
-1.19194e-08 -2.78119e-08 0 0 0 0 
-7.37866e-09 -2.78119e-08 0 0 0 0 
-2.83795e-09 -2.78119e-08 0 0 0 0 
-3.00822e-08 -2.66767e-08 0 0 0 0 
-2.55415e-08 -2.66767e-08 0 0 0 0 
-2.10008e-08 -2.66767e-08 0 0 0 0 
-1.64601e-08 -2.66767e-08 0 0 0 0 
-1.19194e-08 -2.66767e-08 0 0 0 0 
-7.37866e-09 -2.66767e-08 0 0 0 0 
-2.83795e-09 -2.66767e-08 0 0 0 0 
-3.00822e-08 -2.55415e-08 0 0 0 0 
-2.55415e-08 -2.55415e-08 0 0 0 0 
-2.10008e-08 -2.55415e-08 0 0 0 0 
-1.64601e-08 -2.55415e-08 0 0 0 0 
-1.19194e-08 -2.55415e-08 0 0 0 0 
-7.37866e-09 -2.55415e-08 0 0 0 0 
-2.83795e-09 -2.55415e-08 0 0 0 0 
-3.00822e-08 -2.44063e-08 0 0 0 0 
-2.55415e-08 -2.44063e-08 0 0 0 0 
-2.10008e-08 -2.44063e-08 0 0 0 0 
-1.64601e-08 -2.44063e-08 0 0 0 0 
-1.19194e-08 -2.44063e-08 0 0 0 0 
-7.37866e-09 -2.44063e-08 0 0 0 0 
-2.83795e-09 -2.44063e-08 0 0 0 0 
-3.00822e-08 -2.32712e-08 0 0 0 0 
-2.55415e-08 -2.32712e-08 0 0 0 0 
-2.10008e-08 -2.32712e-08 0 0 0 0 
-1.64601e-08 -2.32712e-08 0 0 0 0 
-1.19194e-08 -2.32712e-08 0 0 0 0 
-7.37866e-09 -2.32712e-08 0 0 0 0 
-2.83795e-09 -2.32712e-08 0 0 0 0 
-3.00822e-08 -2.2136e-08 0 0 0 0 
-2.55415e-08 -2.2136e-08 0 0 0 0 
-2.10008e-08 -2.2136e-08 0 0 0 0 
-1.64601e-08 -2.2136e-08 0 0 0 0 
-1.19194e-08 -2.2136e-08 0 0 0 0 
-7.37866e-09 -2.2136e-08 0 0 0 0 
-2.83795e-09 -2.2136e-08 0 0 0 0 
-3.00822e-08 -2.10008e-08 0 0 0 0 
-2.55415e-08 -2.10008e-08 0 0 0 0 
-2.10008e-08 -2.10008e-08 0 0 0 0 
-1.64601e-08 -2.10008e-08 0 0 0 0 
-1.19194e-08 -2.10008e-08 0 0 0 0 
-7.37866e-09 -2.10008e-08 0 0 0 0 
-2.83795e-09 -2.10008e-08 0 0 0 0 
-3.00822e-08 -1.98656e-08 0 0 0 0 
-2.55415e-08 -1.98656e-08 0 0 0 0 
-2.10008e-08 -1.98656e-08 0 0 0 0 
-1.64601e-08 -1.98656e-08 0 0 0 0 
-1.19194e-08 -1.98656e-08 0 0 0 0 
-7.37866e-09 -1.98656e-08 0 0 0 0 
-2.83795e-09 -1.98656e-08 0 0 0 0 
-3.00822e-08 -1.87304e-08 0 0 0 0 
-2.55415e-08 -1.87304e-08 0 0 0 0 
-2.10008e-08 -1.87304e-08 0 0 0 0 
-1.64601e-08 -1.87304e-08 0 0 0 0 
-1.19194e-08 -1.87304e-08 0 0 0 0 
-7.37866e-09 -1.87304e-08 0 0 0 0 
-2.83795e-09 -1.87304e-08 0 0 0 0 
-3.00822e-08 -1.75953e-08 0 0 0 0 
-2.55415e-08 -1.75953e-08 0 0 0 0 
-2.10008e-08 -1.75953e-08 0 0 0 0 
-1.64601e-08 -1.75953e-08 0 0 0 0 
-1.19194e-08 -1.75953e-08 0 0 0 0 
-7.37866e-09 -1.75953e-08 0 0 0 0 
-2.83795e-09 -1.75953e-08 0 0 0 0 
-3.00822e-08 -1.64601e-08 0 0 0 0 
-2.55415e-08 -1.64601e-08 0 0 0 0 
-2.10008e-08 -1.64601e-08 0 0 0 0 
-1.64601e-08 -1.64601e-08 0 0 0 0 
-1.19194e-08 -1.64601e-08 0 0 0 0 
-7.37866e-09 -1.64601e-08 0 0 0 0 
-2.83795e-09 -1.64601e-08 0 0 0 0 
-3.00822e-08 -1.53249e-08 0 0 0 0 
-2.55415e-08 -1.53249e-08 0 0 0 0 
-2.10008e-08 -1.53249e-08 0 0 0 0 
-1.64601e-08 -1.53249e-08 0 0 0 0 
-1.19194e-08 -1.53249e-08 0 0 0 0 
-7.37866e-09 -1.53249e-08 0 0 0 0 
-2.83795e-09 -1.53249e-08 0 0 0 0 
-3.00822e-08 -1.41897e-08 0 0 0 0 
-2.55415e-08 -1.41897e-08 0 0 0 0 
-2.10008e-08 -1.41897e-08 0 0 0 0 
-1.64601e-08 -1.41897e-08 0 0 0 0 
-1.19194e-08 -1.41897e-08 0 0 0 0 
-7.37866e-09 -1.41897e-08 0 0 0 0 
-2.83795e-09 -1.41897e-08 0 0 0 0 
-3.00822e-08 -1.30546e-08 0 0 0 0 
-2.55415e-08 -1.30546e-08 0 0 0 0 
-2.10008e-08 -1.30546e-08 0 0 0 0 
-1.64601e-08 -1.30546e-08 0 0 0 0 
-1.19194e-08 -1.30546e-08 0 0 0 0 
-7.37866e-09 -1.30546e-08 0 0 0 0 
-2.83795e-09 -1.30546e-08 0 0 0 0 
-3.00822e-08 -1.19194e-08 0 0 0 0 
-2.55415e-08 -1.19194e-08 0 0 0 0 
-2.10008e-08 -1.19194e-08 0 0 0 0 
-1.64601e-08 -1.19194e-08 0 0 0 0 
-1.19194e-08 -1.19194e-08 0 0 0 0 
-7.37866e-09 -1.19194e-08 0 0 0 0 
-2.83795e-09 -1.19194e-08 0 0 0 0 
-3.00822e-08 -1.07842e-08 0 0 0 0 
-2.55415e-08 -1.07842e-08 0 0 0 0 
-2.10008e-08 -1.07842e-08 0 0 0 0 
-1.64601e-08 -1.07842e-08 0 0 0 0 
-1.19194e-08 -1.07842e-08 0 0 0 0 
-7.37866e-09 -1.07842e-08 0 0 0 0 
-2.83795e-09 -1.07842e-08 0 0 0 0 
-3.00822e-08 -9.64902e-09 0 0 0 0 
-2.55415e-08 -9.64902e-09 0 0 0 0 
-2.10008e-08 -9.64902e-09 0 0 0 0 
-1.64601e-08 -9.64902e-09 0 0 0 0 
-1.19194e-08 -9.64902e-09 0 0 0 0 
-7.37866e-09 -9.64902e-09 0 0 0 0 
-2.83795e-09 -9.64902e-09 0 0 0 0 
-3.00822e-08 -8.51384e-09 0 0 0 0 
-2.55415e-08 -8.51384e-09 0 0 0 0 
-2.10008e-08 -8.51384e-09 0 0 0 0 
-1.64601e-08 -8.51384e-09 0 0 0 0 
-1.19194e-08 -8.51384e-09 0 0 0 0 
-7.37866e-09 -8.51384e-09 0 0 0 0 
-2.83795e-09 -8.51384e-09 0 0 0 0 
-3.00822e-08 -7.37866e-09 0 0 0 0 
-2.55415e-08 -7.37866e-09 0 0 0 0 
-2.10008e-08 -7.37866e-09 0 0 0 0 
-1.64601e-08 -7.37866e-09 0 0 0 0 
-1.19194e-08 -7.37866e-09 0 0 0 0 
-7.37866e-09 -7.37866e-09 0 0 0 0 
-2.83795e-09 -7.37866e-09 0 0 0 0 
-3.00822e-08 -6.24348e-09 0 0 0 0 
-2.55415e-08 -6.24348e-09 0 0 0 0 
-2.10008e-08 -6.24348e-09 0 0 0 0 
-1.64601e-08 -6.24348e-09 0 0 0 0 
-1.19194e-08 -6.24348e-09 0 0 0 0 
-7.37866e-09 -6.24348e-09 0 0 0 0 
-2.83795e-09 -6.24348e-09 0 0 0 0 
-3.00822e-08 -5.1083e-09 0 0 0 0 
-2.55415e-08 -5.1083e-09 0 0 0 0 
-2.10008e-08 -5.1083e-09 0 0 0 0 
-1.64601e-08 -5.1083e-09 0 0 0 0 
-1.19194e-08 -5.1083e-09 0 0 0 0 
-7.37866e-09 -5.1083e-09 0 0 0 0 
-2.83795e-09 -5.1083e-09 0 0 0 0 
-3.00822e-08 -3.97313e-09 0 0 0 0 
-2.55415e-08 -3.97313e-09 0 0 0 0 
-2.10008e-08 -3.97313e-09 0 0 0 0 
-1.64601e-08 -3.97313e-09 0 0 0 0 
-1.19194e-08 -3.97313e-09 0 0 0 0 
-7.37866e-09 -3.97313e-09 0 0 0 0 
-2.83795e-09 -3.97313e-09 0 0 0 0 
-3.00822e-08 -2.83795e-09 0 0 0 0 
-2.55415e-08 -2.83795e-09 0 0 0 0 
-2.10008e-08 -2.83795e-09 0 0 0 0 
-1.64601e-08 -2.83795e-09 0 0 0 0 
-1.19194e-08 -2.83795e-09 0 0 0 0 
-7.37866e-09 -2.83795e-09 0 0 0 0 
-2.83795e-09 -2.83795e-09 0 0 0 0 
-3.00822e-08 -1.70277e-09 0 0 0 0 
-2.55415e-08 -1.70277e-09 0 0 0 0 
-2.10008e-08 -1.70277e-09 0 0 0 0 
-1.64601e-08 -1.70277e-09 0 0 0 0 
-1.19194e-08 -1.70277e-09 0 0 0 0 
-7.37866e-09 -1.70277e-09 0 0 0 0 
-2.83795e-09 -1.70277e-09 0 0 0 0 
-3.00822e-08 -5.67589e-10 0 0 0 0 
-2.55415e-08 -5.67589e-10 0 0 0 0 
-2.10008e-08 -5.67589e-10 0 0 0 0 
-1.64601e-08 -5.67589e-10 0 0 0 0 
-1.19194e-08 -5.67589e-10 0 0 0 0 
-7.37866e-09 -5.67589e-10 0 0 0 0 
-2.83795e-09 -5.67589e-10 0 0 0 0 
-2.89471e-08 -3.12174e-08 0 0 0 0 
-2.44063e-08 -3.12174e-08 0 0 0 0 
-1.98656e-08 -3.12174e-08 0 0 0 0 
-1.53249e-08 -3.12174e-08 0 0 0 0 
-1.07842e-08 -3.12174e-08 0 0 0 0 
-6.24348e-09 -3.12174e-08 0 0 0 0 
-1.70277e-09 -3.12174e-08 0 0 0 0 
-2.89471e-08 -3.00822e-08 0 0 0 0 
-2.44063e-08 -3.00822e-08 0 0 0 0 
-1.98656e-08 -3.00822e-08 0 0 0 0 
-1.53249e-08 -3.00822e-08 0 0 0 0 
-1.07842e-08 -3.00822e-08 0 0 0 0 
-6.24348e-09 -3.00822e-08 0 0 0 0 
-1.70277e-09 -3.00822e-08 0 0 0 0 
-2.89471e-08 -2.89471e-08 0 0 0 0 
-2.44063e-08 -2.89471e-08 0 0 0 0 
-1.98656e-08 -2.89471e-08 0 0 0 0 
-1.53249e-08 -2.89471e-08 0 0 0 0 
-1.07842e-08 -2.89471e-08 0 0 0 0 
-6.24348e-09 -2.89471e-08 0 0 0 0 
-1.70277e-09 -2.89471e-08 0 0 0 0 
-2.89471e-08 -2.78119e-08 0 0 0 0 
-2.44063e-08 -2.78119e-08 0 0 0 0 
-1.98656e-08 -2.78119e-08 0 0 0 0 
-1.53249e-08 -2.78119e-08 0 0 0 0 
-1.07842e-08 -2.78119e-08 0 0 0 0 
-6.24348e-09 -2.78119e-08 0 0 0 0 
-1.70277e-09 -2.78119e-08 0 0 0 0 
-2.89471e-08 -2.66767e-08 0 0 0 0 
-2.44063e-08 -2.66767e-08 0 0 0 0 
-1.98656e-08 -2.66767e-08 0 0 0 0 
-1.53249e-08 -2.66767e-08 0 0 0 0 
-1.07842e-08 -2.66767e-08 0 0 0 0 
-6.24348e-09 -2.66767e-08 0 0 0 0 
-1.70277e-09 -2.66767e-08 0 0 0 0 
-2.89471e-08 -2.55415e-08 0 0 0 0 
-2.44063e-08 -2.55415e-08 0 0 0 0 
-1.98656e-08 -2.55415e-08 0 0 0 0 
-1.53249e-08 -2.55415e-08 0 0 0 0 
-1.07842e-08 -2.55415e-08 0 0 0 0 
-6.24348e-09 -2.55415e-08 0 0 0 0 
-1.70277e-09 -2.55415e-08 0 0 0 0 
-2.89471e-08 -2.44063e-08 0 0 0 0 
-2.44063e-08 -2.44063e-08 0 0 0 0 
-1.98656e-08 -2.44063e-08 0 0 0 0 
-1.53249e-08 -2.44063e-08 0 0 0 0 
-1.07842e-08 -2.44063e-08 0 0 0 0 
-6.24348e-09 -2.44063e-08 0 0 0 0 
-1.70277e-09 -2.44063e-08 0 0 0 0 
-2.89471e-08 -2.32712e-08 0 0 0 0 
-2.44063e-08 -2.32712e-08 0 0 0 0 
-1.98656e-08 -2.32712e-08 0 0 0 0 
-1.53249e-08 -2.32712e-08 0 0 0 0 
-1.07842e-08 -2.32712e-08 0 0 0 0 
-6.24348e-09 -2.32712e-08 0 0 0 0 
-1.70277e-09 -2.32712e-08 0 0 0 0 
-2.89471e-08 -2.2136e-08 0 0 0 0 
-2.44063e-08 -2.2136e-08 0 0 0 0 
-1.98656e-08 -2.2136e-08 0 0 0 0 
-1.53249e-08 -2.2136e-08 0 0 0 0 
-1.07842e-08 -2.2136e-08 0 0 0 0 
-6.24348e-09 -2.2136e-08 0 0 0 0 
-1.70277e-09 -2.2136e-08 0 0 0 0 
-2.89471e-08 -2.10008e-08 0 0 0 0 
-2.44063e-08 -2.10008e-08 0 0 0 0 
-1.98656e-08 -2.10008e-08 0 0 0 0 
-1.53249e-08 -2.10008e-08 0 0 0 0 
-1.07842e-08 -2.10008e-08 0 0 0 0 
-6.24348e-09 -2.10008e-08 0 0 0 0 
-1.70277e-09 -2.10008e-08 0 0 0 0 
-2.89471e-08 -1.98656e-08 0 0 0 0 
-2.44063e-08 -1.98656e-08 0 0 0 0 
-1.98656e-08 -1.98656e-08 0 0 0 0 
-1.53249e-08 -1.98656e-08 0 0 0 0 
-1.07842e-08 -1.98656e-08 0 0 0 0 
-6.24348e-09 -1.98656e-08 0 0 0 0 
-1.70277e-09 -1.98656e-08 0 0 0 0 
-2.89471e-08 -1.87304e-08 0 0 0 0 
-2.44063e-08 -1.87304e-08 0 0 0 0 
-1.98656e-08 -1.87304e-08 0 0 0 0 
-1.53249e-08 -1.87304e-08 0 0 0 0 
-1.07842e-08 -1.87304e-08 0 0 0 0 
-6.24348e-09 -1.87304e-08 0 0 0 0 
-1.70277e-09 -1.87304e-08 0 0 0 0 
-2.89471e-08 -1.75953e-08 0 0 0 0 
-2.44063e-08 -1.75953e-08 0 0 0 0 
-1.98656e-08 -1.75953e-08 0 0 0 0 
-1.53249e-08 -1.75953e-08 0 0 0 0 
-1.07842e-08 -1.75953e-08 0 0 0 0 
-6.24348e-09 -1.75953e-08 0 0 0 0 
-1.70277e-09 -1.75953e-08 0 0 0 0 
-2.89471e-08 -1.64601e-08 0 0 0 0 
-2.44063e-08 -1.64601e-08 0 0 0 0 
-1.98656e-08 -1.64601e-08 0 0 0 0 
-1.53249e-08 -1.64601e-08 0 0 0 0 
-1.07842e-08 -1.64601e-08 0 0 0 0 
-6.24348e-09 -1.64601e-08 0 0 0 0 
-1.70277e-09 -1.64601e-08 0 0 0 0 
-2.89471e-08 -1.53249e-08 0 0 0 0 
-2.44063e-08 -1.53249e-08 0 0 0 0 
-1.98656e-08 -1.53249e-08 0 0 0 0 
-1.53249e-08 -1.53249e-08 0 0 0 0 
-1.07842e-08 -1.53249e-08 0 0 0 0 
-6.24348e-09 -1.53249e-08 0 0 0 0 
-1.70277e-09 -1.53249e-08 0 0 0 0 
-2.89471e-08 -1.41897e-08 0 0 0 0 
-2.44063e-08 -1.41897e-08 0 0 0 0 
-1.98656e-08 -1.41897e-08 0 0 0 0 
-1.53249e-08 -1.41897e-08 0 0 0 0 
-1.07842e-08 -1.41897e-08 0 0 0 0 
-6.24348e-09 -1.41897e-08 0 0 0 0 
-1.70277e-09 -1.41897e-08 0 0 0 0 
-2.89471e-08 -1.30546e-08 0 0 0 0 
-2.44063e-08 -1.30546e-08 0 0 0 0 
-1.98656e-08 -1.30546e-08 0 0 0 0 
-1.53249e-08 -1.30546e-08 0 0 0 0 
